,Champion,Tags,Key,Image,Lore,Ally Tips,Enemy Tips
Alistar,Alistar,"['Tank', 'Support']",12,"{'full': 'Alistar.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}","Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly becoming a beast. Now, free of the chains of his former masters, he fights in the name of the downtrodden and the disadvantaged, his rage as much a weapon as his horns, hooves and fists.","['Using Pulverize can allow you to establish better positioning for Headbutt.', 'Movement speed is very important on Alistar. Consider which boots to buy carefully.', 'Using Flash can allow you catch your target off guard to knock them back into your allies with Pulverize and Headbutt.']","['Alistar is very disruptive but very tough - try to target more fragile damage dealers.', 'Watch out for the Pulverize-Headbutt combo when around turrets.', ""When Alistar uses his ultimate, it's often better to move back and wait until the effect wears off before attacking him.""]"
Anivia,Anivia,"['Mage', 'Support']",34,"{'full': 'Anivia.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 0, 'w': 48, 'h': 48}","Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland. Anivia guides and protects the tribes of the harsh north, who revere her as a symbol of hope, and a portent of great change. She fights with every ounce of her being, knowing that through her sacrifice, her memory will endure, and she will be reborn into a new tomorrow.","['Timing Flash Frost with Frostbite can lead to devastating combinations.', ""Anivia is extremely reliant on Mana for Glacial Storm. Try getting items with Mana or going for a Crest of the Ancient Golem buff on Summoner's Rift."", 'It can be very difficult for enemy champions to kill her egg early in game. Seize the advantage by playing aggressively.']","[""Try to gank Anivia when she's laning. With multiple people, it is easier to ensure that her egg dies."", ""If you're playing a ranged champion, stay far enough away from Anivia so you can dodge Flash Frost more easily."", 'Try to fight Anivia in the lanes. In the jungle she can block pathways with lower ranks of Crystallize.']"
Sion,Sion,"['Tank', 'Fighter']",14,"{'full': 'Sion.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 336, 'y': 48, 'w': 48, 'h': 48}","A war hero from a bygone era, Sion was revered in Noxus for choking the life out of a Demacian king with his bare hands—but, denied oblivion, he was resurrected to serve his empire even in death. His indiscriminate slaughter claimed all who stood in his way, regardless of allegiance, proving he no longer retained his former humanity. Even so, with crude armor bolted onto rotten flesh, Sion continues to charge into battle with reckless abandon, struggling to remember his true self between the swings of his mighty axe.","['You only have very slight turning ability during Unstoppable Onslaught, so make sure to use it in straight paths.', 'Roar of the Slayer is a great setup ability to land a very powerful Decimating Smash.', 'The Soul Furnace buff displays how much shield strength is remaining, use this information to time its explosion perfectly.']","['Even if Sion still hits a Decimating Smash, making him release the charge earlier reduces its impact.', 'Use the time after Sion has died to reposition and prepare for his return.']"
MasterYi,MasterYi,"['Assassin', 'Fighter']",11,"{'full': 'MasterYi.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 96, 'y': 48, 'w': 48, 'h': 48}","Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of the last living practitioners of the Ionian art of Wuju, Yi has devoted his life to continuing the legacy of his people—scrutinizing potential new disciples with the Seven Lenses of Insight to identify the most worthy among them.","[""If you're in a lane against ranged players, leveling up Meditate can allow you to stay in the lane longer and gain levels faster than they will."", 'Wuju Style is very strong early for last hitting minions.', 'Try using Alpha Strike on a minion in front of an enemy champion so you are placed at a safe distance at the end of the spell.']","['Meditate is an effective method of healing damage over time, but Master Yi is susceptible to coordinated team ganks early in the game.', 'If Master Yi tries to farm with Alpha Strike, hit him a few times so he has to use mana with Meditate to heal.', 'Although Master Yi cannot be slowed while using Highlander, other disables can stop him in his tracks.']"
Graves,Graves,['Marksman'],104,"{'full': 'Graves.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 288, 'y': 0, 'w': 48, 'h': 48}","Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his double-barreled shotgun Destiny. In recent years, he has reconciled a troubled partnership with Twisted Fate, and together they have prospered once more in the turmoil of Bilgewater's criminal underbelly.","['Smoke Screen can be used both to escape and to set up a kill.', 'Using Quickdraw to get into range and delivering a point blank Buckshot can do lots of damage.']","['Graves deals mostly physical damage so Armor is an effective counter.', ""Leaving the Smoke Screen's area of effect removes the harmful effect immediately.""]"
Yasuo,Yasuo,"['Fighter', 'Assassin']",157,"{'full': 'Yasuo.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","An Ionian of deep resolve, Yasuo is an agile swordsman who wields the air itself against his enemies. As a proud young man, he was falsely accused of murdering his master—unable to prove his innocence, he was forced to slay his own brother in self defense. Even after his master's true killer was revealed, Yasuo still could not forgive himself for all he had done, and now wanders his homeland with only the wind to guide his blade.","['Dash through a minion to have Sweeping Blade available to chase your opponent should they flee; Dash directly to your opponent to preserve a minion as your escape route.', ""At level 18, Yasuo's Steel Tempest reaches its Attack Speed cap with 55% Attack Speed from items."", 'Last Breath can be cast on any target that is knocked Airborne, even by one of your allies.']","['Steel Tempest is very narrow. Dodge laterally if possible. ', 'When Yasuo lands two Steel Tempests in a row, his next will fire a tornado. Watch and listen for the associated sound to prepare to dodge.', 'Yasuo is at his weakest just after he has launched a whirlwind. Engage at that point.', ""Yasuo's shield from Resolve lasts only 2 seconds. Dealing damage to him will trigger it. Wait it out, then engage.""]"
Kayn,Kayn,"['Fighter', 'Assassin']",141,"{'full': 'Kayn.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 240, 'y': 96, 'w': 48, 'h': 48}","A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of his body and mind. There are only two possible outcomes: either Kayn bends the weapon to his will... or the malevolent blade consumes him completely, paving the way for the destruction of all Runeterra.","[""Look at the line-up of both your team and the enemy's team when picking your form."", ""Remember that nearby enemies can see which wall you're in.""]","[""Umbral Trespass requires Kayn to damage a target first. Try to dodge Blade's Reach to deny him a long range cast of Umbral Trespass."", ""When Kayn is in terrain near you, you will get a visual warning on the edge of the terrain he's in."", ""Damage Kayn while he's in Shadow Step to shorten its duration, or apply hard crowd control (stun, charm, knockup, etc) to end Shadow Step immediately.""]"
Akali,Akali,['Assassin'],84,"{'full': 'Akali.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}","Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one kill at a time. Akali may strike in silence, but her message will be heard loud and clear: fear the assassin with no master.","['Akali excels at killing fragile champions. Let your team initiate and then strike at the people in the back.', 'Twilight Shroud offers safety in even the most dangerous situations. Use that time to save up energy for a quick strike later.']","['Akali can still be hit by area effect spells while obscured inside Twilight Shroud. Doing so will briefly reveal her position.', ""Akali's Five Point Strike is powerful when used at maximum range and energy. Engage on her when she has low energy to maximize your chance of winning trades."", 'Return to base if your Health is low and Akali has her ultimate available.']"
Neeko,Neeko,"['Mage', 'Support']",518,"{'full': 'Neeko.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure where—or who—Neeko might be, but those who intend to do her harm will soon witness her true colors revealed, and feel the full power of her primordial spirit magic unleashed upon them.","['You can set her passive to use hotkeys in the options menu. The default is Shift+F1~F5', 'Try to use Inherent Glamour sparingly, ineffective uses will put enemies on the alert.']","['Standing behind minions against Neeko is very dangerous as Tangle-Barbs become stronger.', ""Pop Blossom's warning visuals are invisible if Neeko is disguised.""]"
Kindred,Kindred,['Marksman'],203,"{'full': 'Kindred.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 384, 'y': 96, 'w': 48, 'h': 48}","Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his crushing jaws. Though interpretations of Kindred's nature vary across Runeterra, every mortal must choose the true face of their death.","[""Moving around between attacks while jungling will help you avoid damage and also generate more heals from Wolf's Frenzy."", 'Pick which Hunts you want to pursue carefully; getting many of them is the key to success as the game goes on.', ""Don't go in first to a large team fight. Wait for your teammates to initiate.""]","['Kindred is fragile - turn the pressure up on her, and she will be forced to play cautiously.', ""Clear the Hunts Wolf activates on jungle camps to slow down Kindred's damage output."", ""When Kindred uses Lamb's Respite get inside, it stops all champions from dying.""]"
Elise,Elise,"['Mage', 'Fighter']",60,"{'full': 'Elise.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 240, 'y': 96, 'w': 48, 'h': 48}","Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly inhuman—a spider-like creature, drawing unsuspecting prey into her web. To maintain her eternal youth, Elise now prefers to feed upon the naive and the faithless, and there are few who can resist her seductions.","[""Spider Form is most effective at finishing off enemies with low health; Human Form's Neurotoxin does more damage to healthy foes. "", 'When in Spider Form, Spiderlings will attack the target that Elise uses Venomous Bite on. ', ""Elise's Spider Form and Spider Form abilities do not cost mana and can be prioritized when you are trying to conserve mana.""]","[""Elise's Spider Form is more dangerous when you are at low health, and her Human Form more potent when you are at high health."", 'Rappel will only move Elise straight up and down unless she can descend upon an enemy unit.', 'Rappel has a long cooldown. Elise is vulnerable after she has used it.']"
Sylas,Sylas,"['Mage', 'Assassin']",517,"{'full': 'Sylas.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 144, 'y': 96, 'w': 48, 'h': 48}","Raised in one of Demacia's lesser quarters, Sylas of Dregbourne has come to symbolize the darker side of the Great City. As a boy, his ability to root out hidden sorcery caught the attention of the notorious mageseekers, who eventually imprisoned him for turning those same powers against them. Having now broken free, Sylas lives as a hardened revolutionary, using the magic of those around him to destroy the kingdom he once served… and his band of outcast mage followers seems to grow by the day.","['Wait for you or your enemy to reach low health before using Kingslayer for maximum effect.', 'Space out your ability usage to get maximum effect from Petricite Burst.', 'Clever use of enemy ultimates can open up new possibilities to approach teamfights.']","[""Sylas's healthbar can be deceptive, watch out for his Kingslayer!"", ""Try to fight Sylas when he isn't able to take your ultimate.""]"
Karthus,Karthus,['Mage'],30,"{'full': 'Karthus.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 48, 'y': 96, 'w': 48, 'h': 48}","The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of life and death. When Karthus emerges from the Shadow Isles, it is to bring the joy of death to mortals, an apostle of the unliving.","['Ask your allies to help point out when you should use Requiem to get kills in different lanes.', 'Lay Waste is very strong at farming minions and harassing enemy champions.']","['Karthus can cast spells for a short duration after he is killed. Move away from his corpse to be safe.', 'Make sure you always have enough health to survive Requiem, even if you have to go back to the base more frequently to heal.']"
Sejuani,Sejuani,"['Tank', 'Fighter']",113,"{'full': 'Sejuani.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 0, 'y': 48, 'w': 48, 'h': 48}","Sejuani is the brutal, unforgiving Iceborn warmother of the Winter's Claw, one of the most feared tribes of the Freljord. Her people's survival is a constant, desperate battle against the elements, forcing them to raid Noxians, Demacians, and Avarosans alike to survive the harsh winters. Sejuani herself spearheads the most dangerous of these attacks from the saddle of her drüvask boar Bristle, using her True Ice flail to freeze and shatter her enemies.","['Use Arctic Assault to escape bad situations, interupt channeled spells or chase runners.', 'Melee allies can stack Frost for your Permafrost, keep an eye on who they are attacking.', 'Save Glacial Prison for encounters where you have teammates present to take advantage of it.']","['Dodging Arctic Assault and Glacial Prison can give you a huge advantage.', ""Focus on avoiding the second swing of Winter's Wrath which carries the brunt of the damage."", 'Melee enemies can also stack Frost for Sejuani, be very careful around them.']"
Sett,Sett,"['Fighter', 'Tank']",875,"{'full': 'Sett.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 96, 'y': 48, 'w': 48, 'h': 48}","A leader of Ionia's growing criminal underworld, Sett rose to prominence in the wake of the war with Noxus. Though he began as a humble challenger in the fighting pits of Navori, he quickly gained notoriety for his savage strength, and his ability to take seemingly endless amounts of punishment. Now, having climbed through the ranks of local combatants, Sett has muscled to the top, reigning over the pits he once fought in.",[],[]
Warwick,Warwick,"['Fighter', 'Tank']",19,"{'full': 'Warwick.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 288, 'y': 48, 'w': 48, 'h': 48}","Warwick is a monster who hunts the gray alleys of Zaun. Transformed by agonizing experiments, his body is fused with an intricate system of chambers and pumps, machinery filling his veins with alchemical rage. Bursting out of the shadows, he preys upon those criminals who terrorize the city's depths. Warwick is drawn to blood, and driven mad by its scent. None who spill it can escape him.","['Follow your Blood Hunt trails to low health enemy champions.', ""Infinite Duress (R)'s distance scales with any movement speed you gain, even from ally buffs and summoner spells."", 'Jaws of the Beast (Q) will follow enemies who run, dash or teleport if you keep the button held down.']","[""Warwick's attacks heal him at low health. Save your disables to finish him off."", 'Warwick is empowered versus low health enemies. Manage your health to keep him at bay.', ""Warwick's ultimate cast range scales with his movement speed.""]"
Heimerdinger,Heimerdinger,"['Mage', 'Support']",74,"{'full': 'Heimerdinger.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}","A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's most impenetrable questions. Though his theories often appear opaque and esoteric, Heimerdinger has crafted some of Piltover's most miraculous—not to mention lethal—machinery, and constantly tinkers with his inventions to make them even more efficient.","['Turret placement can be a deciding factor in a battle. Against most enemies turrets are best when they can support each other, but if the enemy has a lot of area of effect damage your turrets can be destroyed quickly. Placing turrets in brush can lead to a surprise attack in your favor.', ""The success of Electron Storm Grenade is very important to Heimerdinger's survival. The slow and stun both are capable of keeping enemies in place long enough to punish them, but it is also the first line of defense against a surprise attack."", 'Spreading out Hextech Micro-Rockets leads to more reliable damage and more efficiency against multiple targets, but focusing it creates the biggest impact.']","[""It's better to destroy all of Heimerdinger's turrets at once with the help of creeps than to fight them one at a time."", ""Be wary of Heimerdinger's Upgrade!!!, as he can use it to find an answer to most trouble he gets into. Once his ultimate is down, go in for the kill!""]"
Sona,Sona,"['Support', 'Mage']",37,"{'full': 'Sona.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","Sona is Demacia's foremost virtuoso of the stringed etwahl, speaking only through her graceful chords and vibrant arias. This genteel manner has endeared her to the highborn, though others suspect her spellbinding melodies to actually emanate magic—a Demacian taboo. Silent to outsiders but somehow understood by close companions, Sona plucks her harmonies not only to soothe injured allies, but also to strike down unsuspecting enemies.","[""Make sure to tag your allies while Sona's auras are active, but avoid getting caught out by enemies."", 'Save Crescendo for the game-altering moment.', 'Well-timed uses of Aria of Perseverance will grant you maximum survivability.']","[""Spread out when you see Sona so she can't make your entire team dance."", 'Kill Sona first, as she will heal up her team if left alone for too long.']"
TwistedFate,TwistedFate,['Mage'],4,"{'full': 'TwistedFate.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}","Twisted Fate is an infamous cardsharp and swindler who has gambled and charmed his way across much of the known world, earning the enmity and admiration of the rich and foolish alike. He rarely takes things seriously, greeting each day with a mocking smile and an insouciant swagger. In every possible way, Twisted Fate always has an ace up his sleeve.","['Coordinate with your allies for the best time to use Destiny to ambush enemies.', ""Stealth characters often escape a battle with very low hit points. Take advantage of Destiny's ability to reveal stealthed units to finish them off."", 'Twisted Fate is viable as an Attack Damage or Ability Power character, letting him fit on many different team compositions.']","[""Focus on dodging Wild Cards early when your champion doesn't have the hit points to afford getting hit."", 'If you have low Health, use Destiny as an indicator to run to safety. It will give you a head start in escaping any possible ganks.']"
RekSai,RekSai,['Fighter'],421,"{'full': 'RekSai.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 192, 'y': 0, 'w': 48, 'h': 48}","An apex predator, Rek'Sai is a merciless Void-spawn that tunnels beneath the ground to ambush and devour unsuspecting prey. Her insatiable hunger has laid waste to entire regions of the once-great empire of Shurima—merchants, traders, even armed caravans, will go hundreds of miles out of their way to avoid her and her offspring's hunting grounds. All know that once Rek'Sai is seen on the horizon, death from below is all but guaranteed.","['Keeping tunnels spread out across the map will ensure you have choices when you want to cast Void Rush.', 'Cast Burrow before travelling around the map to take advantage of the increased Movement Speed and the safety provided by Tremor Sense.', 'Tremor Sense can warn you of enemies closing in, and is particularly useful when entering enemy territory.']","[""If you see one of Rek'Sai's tunnels, briefly stand on one of the entrances to destroy it."", ""Rek'Sai's Furious Bite gains damage as she builds Fury. Be very careful around her when her Fury is full."", ""When Rek'Sai is near, she can see the position of you and your allies, but only if you're moving.""]"
Senna,Senna,"['Marksman', 'Support']",235,"{'full': 'Senna.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 48, 'y': 48, 'w': 48, 'h': 48}","Cursed from childhood to be haunted by the supernatural Black Mist, Senna joined a sacred order known as the Sentinels of Light, and fiercely fought back—only to be killed, her soul imprisoned in a lantern by the cruel wraith Thresh. But refusing to lose hope, within the lantern Senna learned to use the Mist, and reemerged to new life, forever changed. Now wielding darkness along with light, Senna seeks to end the Black Mist by turning it against itself—with every blast of her relic weapon, redeeming the souls lost within.",[],[]
Shaco,Shaco,['Assassin'],35,"{'full': 'Shaco.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 144, 'y': 48, 'w': 48, 'h': 48}","Crafted long ago as a plaything for a lonely prince, the enchanted marionette Shaco now delights in murder and mayhem. Corrupted by dark magic and the loss of his beloved charge, the once-kind puppet finds pleasure only in the misery of the poor souls he torments. He uses toys and simple tricks to deadly effect, finding the results of his bloody “games” hilarious—and for those who hear a dark chuckle in the dead of night, the Demon Jester may have marked them as his next plaything.","['Using Deceive over terrain can help you make a clean escape.', 'Try getting items with on-hit effects. These will also benefit your Hallucination clone.', ""Backstab's damage can be increased with increased Critical Damage effects like Infinity Edge.""]","['If Shaco is doing well early-game, it is worth the investment to place Stealth Wards near his Jungle camps.', ""If Shaco uses Deceive to enter a fight he won't be able to quickly use it again to get away. Work with your team to quickly focus him down.""]"
Jayce,Jayce,"['Fighter', 'Marksman']",126,"{'full': 'Jayce.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his hometown. While revered throughout the city as a hero, he hasn't taken well to the attention heroism brings. Still, Jayce's heart is in the right place, and even those who envy his natural skills are grateful for his protection in the City of Progress.","['Be sure to switch stances often. It will enhance your attacks and grant you quick bursts of speed.', ""If you find yourself taking lots of damage, try using Jayce's Hammer Stance, as it grants you additional defenses."", 'For increased range and damage, try casting Shock Blast through the Acceleration Gate.']","['Jayce can attack in melee or at range. Pay attention to his stance and weapon color to know how he is going to attack.', 'If you see Jayce drop his Acceleration Gate, be careful, he is probably about to cast Shock Blast.', 'Jayce is strong in the early game. If he gains the advantage, play defensively.']"
Ornn,Ornn,"['Tank', 'Fighter']",516,"{'full': 'Ornn.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 288, 'y': 96, 'w': 48, 'h': 48}","Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion items of unsurpassed quality. When other deities—especially Volibear—walk the earth and meddle in mortal affairs, Ornn arises to put these impetuous beings back in their place, either with his trusty hammer or the fiery power of the mountains themselves.","['Learning build paths of items can help quickly select upgrades in lane.', 'Volcanic Rupture can be used to set up zoning areas to threaten enemies.', 'The order of your abilties matters! Try to optimize Brittle usage.']","['Try to stay away from walls. Ornn is much less strong if he cannot stun you.', 'Attack Ornn to keep him from creating items in lane.']"
Kennen,Kennen,"['Mage', 'Marksman']",85,"{'full': 'Kennen.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 288, 'y': 96, 'w': 48, 'h': 48}","More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his master Shen, Kennen patrols the spirit realm, employing devastating electrical energy to strike down his enemies.","['You can stun your opponents by inflicting 3 Marks of the Storm upon them.', 'Lightning Rush can be used to initiate fights with its Energy return component, allowing him to use other abilities afterward.', 'You can land an initial Mark of the Storm debuff on an opponent with Thundering Shuriken, and then add to it with Electrical Surge.']","['Consider playing a bit more cautiously around Kennen when you have a Mark of the Storm debuff. If he hits you with 3 Marks of the Storm, you will get stunned.', 'Kennen is flimsy by nature - turn and attack him if he gets careless with Lightning Rush.']"
Varus,Varus,"['Marksman', 'Mage']",110,"{'full': 'Varus.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}","One of the ancient darkin, Varus was a deadly killer who loved to torment his foes, driving them almost to insanity before delivering the killing arrow. He was imprisoned at the end of the Great Darkin War, but escaped centuries later in the remade flesh of two Ionian hunters—they had unwittingly released him, cursed to bear the bow containing his bound essence. Varus now seeks out those who trapped him, in order to enact his brutal vengeance, but the mortal souls within still resist him every step of the way.","['An early point in Blighted Quiver helps harass enemy champions and get killing blows on minions.', ""During short range fights it's sometimes best to fire Piercing Arrow quickly, rather than charging it to full power."", ""Try to take advantage of Piercing Arrow's very long range to snipe at enemy champions before a fight or as they're trying to flee.""]","[""If you are affected by Blight, Varus' abilities will deal extra damage to you."", 'When he gets a kill or assist, Varus temporarily gains Attack Speed and is much more dangerous.', ""You'll get bound in place if a tendril from Varus' ultimate, Chain of Corruption, reaches you. You can cause the tendril to die however by running far enough away from it.""]"
Nautilus,Nautilus,"['Tank', 'Fighter']",111,"{'full': 'Nautilus.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 432, 'y': 48, 'w': 48, 'h': 48}","A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to save the wretched, and drag the greedy to their doom. It is said he comes for those who forget to pay the “Bilgewater tithe”, pulling them down beneath the waves with him—an iron-clad reminder that none can escape the depths.","['While ganking, consider aiming Dredge Line at nearby terrain and following it up with Riptide for a higher hit rate.', 'Riptide has a delayed blast timing on activation - you can use this while running away or when enemies are incoming to serve as a deterrent.']","['If Nautilus uses Riptide right next to you, hold in place until the ripple effect finishes before running. Running early will run straight into the secondary explosions, causing you to take additional damage and slow.', 'While Nautilus is shielded, he is capable of dealing large amounts of area of effect damage with his basic attacks - consider taking down the shield if you have time.']"
Rumble,Rumble,"['Fighter', 'Mage']",68,"{'full': 'Rumble.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 384, 'y': 0, 'w': 48, 'h': 48}","Rumble is a young inventor with a temper. Using nothing more than his own two hands and a heap of scrap, the feisty yordle constructed a colossal mech suit outfitted with an arsenal of electrified harpoons and incendiary rockets. Though others may scoff and sneer at his junkyard creations, Rumble doesn't mind—after all, he's the one with the flamespitter.","['Try and pace yourself to stay in the Danger Zone to maximize your effectiveness. It is easy to overheat if you rapidly use your abilities.', 'Try and keep targets in the range of your Flamespitter. It can deal a lot of damage overtime.', 'If you are winning a fight you can use your ultimate to wall off an escape path.']","[""Watch Rumble's Heat bar carefully. If you see him Overheat, go in for the kill while his skills are disabled."", ""Rumble's ultimate can deal a lot of damage if you stay inside the area of effect. When you see the missiles falling, move out of the way as quickly as possible."", 'Rumble deals almost entirely magic damage. Build some Magic Resistance to reduce his damage.']"
Mordekaiser,Mordekaiser,['Fighter'],82,"{'full': 'Mordekaiser.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 240, 'y': 48, 'w': 48, 'h': 48}","Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powers—but there are some ancient souls that do, and they fear the day when he may return to claim dominion over both the living and the dead.","['Offense is your defense. Keep fighting to build up larger Indestructible shields.', 'Hitting multiple champions with the same ability can help quickly activate Darkness Rise.', 'Use Realm of Death on a low health enemy to guarantee the kill and keep their stats for the rest of a teamfight.']","['Mordekaiser builds up a powerful damage aura when fighting champions, so keep your distance.', 'Damage he deals can be converted into a large shield, and consumed for health', 'Realm of Death will cut you off from your teammates completely. Try to save mobility spells to escape Mordekaiser once inside']"
LeeSin,LeeSin,"['Fighter', 'Assassin']",64,"{'full': 'LeeSin.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}","A master of Ionia's ancient martial arts, Lee Sin is a principled fighter who channels the essence of the dragon spirit to face any challenge. Though he lost his sight many years ago, the warrior-monk has devoted his life to protecting his homeland against any who would dare upset its sacred balance. Enemies who underestimate his meditative demeanor will endure his fabled burning fists and blazing roundhouse kicks.","[""Use Sonic Wave before Dragon's Rage so you can chase the target with Resonating Strike."", 'Take advantage of Flurry by weaving in basic attacks between spell casts - this maximizes damage output and minimizes Energy loss.', 'Self-casting Safeguard and using Iron Will are powerful tools for killing neutral monsters (in the jungle).']","[""Stay spread out to minimize the impact of Lee Sin's ultimate, Dragon's Rage."", 'Lee Sin has powerful tools to combat physical damage in Iron Will and Cripple but he is still vulnerable to magic damage.', 'Lee Sin relies heavily on following up with his abilities. Use disables to prevent him from chaining together his abilities and attacks.']"
Veigar,Veigar,['Mage'],45,"{'full': 'Veigar.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 0, 'y': 48, 'w': 48, 'h': 48}","An enthusiastic master of dark sorcery, Veigar has embraced powers that few mortals dare approach. As a free-spirited inhabitant of Bandle City, he longed to push beyond the limitations of yordle magic, and turned instead to arcane texts that had been hidden away for thousands of years. Now a stubborn creature with an endless fascination for the mysteries of the universe, Veigar is often underestimated by others—but even though he believes himself truly evil, he possesses an inner morality that leads some to question his deeper motivations.","['Use Event Horizon to increase your chances of landing Dark Matter.', 'Veigar is extremely Mana and Cooldown Reduction dependent. Try buying items with these stats in order to increase the effectiveness of your passive and Baleful Strike.', 'Veigar is very fragile. It is valuable to select at least one summoner spell that can be used defensively.']","['Dark Matter deals very high damage, but it can be avoided. Pay attention to the sound and visual indicator to be aware of when and where the spell will land.', ""Event Horizon only stuns units on the edge. If you're inside the spell, you can still move and attack."", ""Veigar's ultimate deals increased damage based on your missing health.""]"
